name,from,from_adm2,from_adm1,from_adm0,to,to_adm2,to_adm1,to_adm0,to_adm2_w_space,weight,male_under18,male_18to60,male_over60,female_under18,female_18to60,female_over60,
Ancuabe-Ancuabe,Ancuabe,Ancuabe,adm1,MOZ,Ancuabe_,Ancuabe,adm1,MOZ,Ancuabe_,48,7.2,9.6,7.2,7.2,9.6,7.2,
Ancuabe-Balama,Ancuabe,Ancuabe,adm2,MOZ,Balama_,Balama,adm2,MOZ,Balama_,58,8.7,11.6,8.7,8.7,11.6,8.7,
Ancuabe-Chiure,Ancuabe,Ancuabe,adm3,MOZ,Chiure_,Chiure,adm3,MOZ,Chiure_,90,13.5,18,13.5,13.5,18,13.5,
Ancuabe-Cidade De Pemba,Ancuabe,Ancuabe,adm4,MOZ,Cidade_De_Pemba_,Cidade De Pemba,adm4,MOZ,Cidade_De_Pemba_,93,13.95,18.6,13.95,13.95,18.6,13.95,
Ancuabe-Erati,Ancuabe,Ancuabe,adm5,MOZ,Erati_,Erati,adm5,MOZ,Erati_,75,11.25,15,11.25,11.25,15,11.25,
Ancuabe-Ibo,Ancuabe,Ancuabe,adm6,MOZ,Ibo_,Ibo,adm6,MOZ,Ibo_,6,0.9,1.2,0.9,0.9,1.2,0.9,
Ancuabe-Lalaua,Ancuabe,Ancuabe,adm7,MOZ,Lalaua_,Lalaua,adm7,MOZ,Lalaua_,8,1.2,1.6,1.2,1.2,1.6,1.2,
Ancuabe-Macomia,Ancuabe,Ancuabe,adm8,MOZ,Macomia_,Macomia,adm8,MOZ,Macomia_,33,4.95,6.6,4.95,4.95,6.6,4.95,
Ancuabe-Marrupa,Ancuabe,Ancuabe,adm9,MOZ,Marrupa_,Marrupa,adm9,MOZ,Marrupa_,2,0.3,0.4,0.3,0.3,0.4,0.3,
Ancuabe-Mecuburi,Ancuabe,Ancuabe,adm10,MOZ,Mecuburi_,Mecuburi,adm10,MOZ,Mecuburi_,20,3,4,3,3,4,3,
Ancuabe-Mecufi,Ancuabe,Ancuabe,adm11,MOZ,Mecufi_,Mecufi,adm11,MOZ,Mecufi_,22,3.3,4.4,3.3,3.3,4.4,3.3,
Ancuabe-Mecula,Ancuabe,Ancuabe,adm12,MOZ,Mecula_,Mecula,adm12,MOZ,Mecula_,1,0.15,0.2,0.15,0.15,0.2,0.15,
